Raw	POS	Lemma	Remarks
اڳوڻو	PROPN	اڳوڻو	Review Needed
بريصغير	PROPN	بريصغير	
برٽش	PROPN	برٽش	
بورجوائي	PROPN	بورجوائي	
بڍبير	PROPN	بڍبير	
تنوير	PROPN	تنوير	
تڳيو	PROPN	تڳيو	
جبار	PROPN	جبار	
جنرل	PROPN	جنرل	
جولاءِ	PROPN	جولاءِ	
حاڪم	PROPN	حاڪم	
حب	PROPN	حب	
خان	PROPN	خان	
خميسو	PROPN	خميسو	
خٽڪ	PROPN	خٽڪ	
دهلي	PROPN	دهلي	
ديره	PROPN	ديره	
رائيس	PROPN	رائيس	
رشيد	PROPN	رشيد	
رمضان	PROPN	رمضان	
زاھد	PROPN	زاھد	
سسئي	PROPN	سسئي	
سنسڪرت	PROPN	سنسڪرت	
سيپٽمبر	PROPN	سيپٽمبر	
سپر	PROPN	سپر	Review Needed
سڊل	PROPN	سڊل	
سڪسز	PROPN	سڪسز	Review Needed
شرم	PROPN	شرم	
شريف	PROPN	شريف	
شعيب	PROPN	شعيب	
شيري	PROPN	شيري	
شڪارپور	PROPN	شڪارپور	
شگر	PROPN	شگر	
صالح	PROPN	صالح	
طاهر	PROPN	طاهر	
عائشه	PROPN	عائشه	
عبدالحق	PROPN	عبدالحق	
عبدالفتاح	PROPN	عبدالفتاح	
عبيد	PROPN	عبيد	
عمر	PROPN	عمر	
غازي	PROPN	غازي	
غني	PROPN	غني	
فخرالدين	PROPN	فخرالدن	
فضل	PROPN	فضل	
فلپائن	PROPN	فلپائن	
فوزيه	PROPN	فوزيه	
قادرمگسي	PROPN	قادرمگسي	
قاسم	PROPN	قاسم	
قطب	PROPN	قطب	
قمبر	PROPN	قمبر	
لطيف	PROPN	لطيف	
مئي	PROPN	مئي	
مائيڪ	PROPN	مائيڪ	
ماتلي	PROPN	ماتلي	
ماٿيلو	PROPN	ماٿيلو	
مترجم	PROPN	مترجم	
مجيب	PROPN	مجيب	
محسود	PROPN	محسود	
مرتضيٰ	PROPN	مرتضيٰ	
مسعود	PROPN	مسعود	
مغوي	PROPN	مغوي	
ممتاز	PROPN	ممتاز	
منير	PROPN	منير	
مهتاب	PROPN	مهتاب	
مولن	PROPN	مولن	
مير	PROPN	مير	
ميرپور	PROPN	ميرپور	
ميرپورساڪرو	PROPN	ميرپورساڪرو	
نارا	PROPN	نارو	
نبي	PROPN	نبي	
نواب	PROPN	نواب	
نور	PROPN	نور	
نيو	PROPN	نيو	
نيڪ	PROPN	نيڪ	
هالنڊ	PROPN	هالنڊ	
هانگ	PROPN	هانگ	
هزار	PROPN	هزار	
وائٽ	PROPN	وائٽ	
وانا	PROPN	وانو	
وسيم	PROPN	وسيم	
وسپ	PROPN	وسپ	
يار	PROPN	يار	
ياسمين	PROPN	ياسمين	
يورپ	PROPN	يورپ	
ٺٽو	PROPN	ٺٽو	
پارڪو	PROPN	پارڪو	
پاڪ	PROPN	پاڪ	
پاڪستانين	PROPN	پاڪستان	
پرويز	PROPN	پرويز	
پنگريو	PROPN	پنگريو	
پير	PROPN	پير	
پيراڻي	PROPN	پيراڻي	
ٿر	PROPN	ٿر	
ڀرڳڙي	PROPN	ڀرڳڙي	
ڀنگو	PROPN	ڀنگو	
چڪوال	PROPN	چڪوال	
ڇٽي	PROPN	ڇٽي	
ڊومڪي	PROPN	ڊومڪي	
ڊيوڊ	PROPN	ڊيوڊ	
ڏنو	PROPN	ڏنو	
ڏهرڪي	PROPN	ڏهرڪي	
ڪابل	PROPN	ڪابل	
ڪانگ	PROPN	ڪانگ	
ڪرشنا	PROPN	ڪرشنا	
ڪرشنگ	PROPN	ڪرشنگ	
گجو	PROPN	گجو	
گهارو	PROPN	گهارو	
گهانا	PROPN	گهاننو	
!	PUNCT	!	
آندي	VERB	آندو	
آڇين	VERB	آڇيو	
آڻيو	VERB	آڻ	
الهه	VERB	الهه	Review Needed
ايندا	VERB	ايندو	
اپنايا	VERB	اپنايو	
اڇلائي	VERB	اڇل	
اڏائڻ	VERB	اڏاءِ	
بڻيل	VERB	بڻيو	
جڙيل	VERB	جڙيو	
رهندڙ	VERB	ره	
روڪي	VERB	روڪ	
ساڙڻ	VERB	ساڙڻ	
سرندا	VERB	سرندو	
سـِـڪي	VERB	سـِـڪيو	
سمجهان	VERB	سمجه	
سمجهندا	VERB	سمجه	
سمجهون	VERB	سمجه	
سمجھايومانس	VERB	سمجھ	
سمهي	VERB	سمه	
سورڻ	VERB	سور	
سگهو	VERB	سگهي	
سگهون	VERB	سگه	
سگهين	VERB	سگهي
سگھبو	VERB	سگھ	
لائيندي	VERB	لائنيندو	
لاتا	VERB	لاتو	
لاهه	VERB	لاهه	
لاڳو	VERB	لاڳو	
لنوائيندا	VERB	لنواءِ	
لوڙهيو	VERB	لوڙه	
ليکيو	VERB	ليکيو	
لِکي	VERB	لک	
لٿل	VERB	لٿو	
لڙهي	VERB	لڙه	
لکي	VERB	لک	
لکيل	VERB	لک	
لکڻ	VERB	لک	
لڪاءِ	VERB	لڪاءِ	
لڳايو	VERB	لڳاءِ	
مئس	VERB	مئو	
مارڻ	VERB	مار	
ماڻجي	VERB	ماڻج	
متعارف	VERB	متعارف	
مـُـئا	VERB	مـُء	
ملنديون	VERB	مل	
ملهائڻ	VERB	ملهاءِ	
موڪلا	VERB	موڪلا	
مڃبو	VERB	مڃ	
مڃيندي	VERB	مڃ	
مڃڻ	VERB	مڃ	
مڙهي	VERB	مڙهيو	
نهاريو	VERB	نهار	
نڪرندڙ	VERB	نڪر	
هلان	VERB	هل	
هڪلڻ	VERB	هڪل	
هڻندو	VERB	هڻ	
هڻڻ	VERB	هڻ	
وجهرايو	VERB	وجهراءِ	
ورتا	VERB	ورتو	
ورتل	VERB	ورتو	
وريـو	VERB	وري	
وسريا	VERB	وسر	
وهندي	VERB	وهندو	
ويس	VERB	ويس	
ويٺا	VERB	ويٺو	
وٺ	VERB	وٺ	
وٺندو	VERB	وٺ	
وڄائيندي	VERB	وڄاءِ	
وڌيو	VERB	وڌ	
وڪامجي	VERB	وڪامج	
ٽنگي	VERB	ٽنگ	
پائڻ	VERB	پاءِ	
پارايا	VERB	پاراءِ	
پرکڻ	VERB	پرک	
پهچائڻ	VERB	پهچاءِ	
پهچايو	VERB	پهچاءِ	
پوندا.	VERB	پوندو	. should be deleted
پوکي	VERB	پوک	
پيئو	VERB	پيئ	
پڄندس	VERB	پڄ	
پچائي	VERB	پچاءِ	
پڇيائين	VERB	پڇ	
ٿينديون	VERB	ٿي	
ڀريندي	VERB	ڀر	
ڀنڀلائڻ	VERB	ڀنڀلاءِ	
ڀڄندو	VERB	ڀڄ	
ڀڳل	VERB	ڀڳو	
ڄاڻايو	VERB	ڄاڻ	
چاڙهيو	VERB	چاڙه	
چوندو	VERB	چو	
چونڊي	VERB	چونڊ	
چونڊيو	VERB	چونڊ	
چوين	VERB	چو	
ڇٽي	VERB	ڇٽ	
ڇڏيائين	VERB	ڇڏيو	
ڇڏين	VERB	ڇڏ	
ڇڏيون	VERB	ڇڏ	
ڇڪي	VERB	ڇڪ	
ڊڄن	VERB	ڊڄ	
ڏسان	VERB	ڏس	
ڏسجي	VERB	ڏسج	
ڏيار	VERB	ڏيار	
ڏيندا	VERB	ڏي	
ڏيڻا	VERB	ڏيڻو	
ڏٺا	VERB	ڏٺو	
ڦاسي	VERB	ڦاس	
ڦرندا	VERB	ڦر	
ڦرڻ	VERB	ڦر	
کاءُ	VERB	کاءُ	
کائينداسون	VERB	کاءِ	
کسي	VERB	کس	
کلن	VERB	کل	
کُلي	VERB	کُل	
کپن	VERB	کپ	
کڻڻ	VERB	کڻ	
ڪبي	VERB	ڪبو	
ڪراءِ	VERB	ڪراءِ	
ڪريانءِ	VERB	ڪري	
ڪندڙن	VERB	ڪن	
ڪوشش	VERB	ڪوشش	Review Needed
ڪوڙ	VERB	ڪوڙ	Review Needed
ڪيئي	VERB	ڪيو	
ڪياسين	VERB	ڪيو	
ڪٿيندئو	VERB	ڪٿ	
ڪڌيا	VERB	ڪڌيو	
گذرندڙ	VERB	گذر	
گذرڻو	VERB	گذرڻو	
گهرون	VERB	گهر	
گهمڻ	VERB	گهُم	
گهٽجي	VERB	گهٽج	
گھريا	VERB	گھريو	
ڳائيندو	VERB	ڳاءِ	
ڳائيندي	VERB	ڳاءِ	
ھڻايا	VERB	ھڻاءِ	
