Text	POS	Lemma	
ورتائينس	VERB	ورتو	
وري	VERB	وري	
وريو	VERB	ور	
ورڻ	VERB	ور	
وزارتن	VERB	وزارت	May be a noun
ونائين	VERB	وناءِ	
وهندو	VERB	وه	
وهندڙ	VERB	وه	
وهي	VERB	وه	
ويجهو	VERB	ويجهو	
ويندس	VERB	ويندو	
ويهارج	VERB	ويهار	
ويهجي	VERB	ويه	
وڃو	VERB	وڃ	
وڃين	VERB	وڃ	
وچڙندو	VERB	وچڙ	
وڌائي	VERB	وڌاءِ	
وڌائين	VERB	وڌاءِ	
وڌائڻو	VERB	وڌاءِ	
وڍي	VERB	وڍ	
وڳي	VERB	وڳو	
وڳڙو	VERB	وڳڙو	
وڻيوَ	VERB	وڻي	
ٺاهيا	VERB	ٺاهيو	
ٺاهيان	VERB	ٺاه	
ٺهندو	VERB	ٺه	
ٺهڻ	VERB	ٺه	
ٻـُـڌ	VERB	ٻـُـڌ	
ٻوٽي	VERB	ٻوٽ	
ٻوڙي	VERB	ٻوڙ	
ٻڌاءِ	VERB	ٻڌاءِ	
ٻڌان	VERB	ٻڌا	
ٻڌايس	VERB	ٻڌاءِ	
ٻڌايون	VERB	ٻڌا	
ٻڌندي	VERB	ٻڌ	
ٻڏي	VERB	ٻڏ	
ٻڪرين	VERB	ٻڪر	
ٽئين	VERB	ٽئو	May be an ADJ
ٽاريان	VERB	ٽاري	
ٽري	VERB	ٽر	
ٽنگجي	VERB	ٽنگ	
ٽنگيل	VERB	ٽنگ	
ٽهڪندو	VERB	ٽهڪ	
ٽٽڻ	VERB	ٽٽڻ	
ٽپن	VERB	ٽپ	
ٽپندو	VERB	ٽپ	
ٽڪرائجڻ	VERB	ٽڪراءِ	
ٽڪراجڻ	VERB	ٽڪراءِ	
ٽڪرايو	VERB	ٽڪرا	
پئو	VERB	پئو	
پهري	VERB	پهري	
پورو	VERB	پورو	
پوندا	VERB	پو	
پويس	VERB	پوي	
پيان	VERB	پيان	
پيس	VERB	پيو	
پيڻ	VERB	پيڻ	
پٽيائين	VERB	پٽيو	
پڄئي	VERB	پڄ	
پڄڻ	VERB	پڄڻ	
پڇ	VERB	پڇ	
پڇي	VERB	پڇ	
پڇيائينس	VERB	پڇ	
پڇيس	VERB	پڇ	
پکيڙي	VERB	پکيڙ	
پکيڙيو	VERB	پکيڙ	
ڀانئيندو	VERB	ڀان	
ڀڃندو	VERB	ڀڃ	
ڀڃي	VERB	ڀڃ	
ڀڄ	VERB	ڀڄ	
ڀڄائڻ	VERB	ڀڄاءِ	
ڀڄندا	VERB	ڀڄ	
ڀڄڻ	VERB	ڀڄ	
ڀڄڻو	VERB	ڀڄ	
ڀڳا	VERB	ڀڳو	
ڄڻيا	VERB	ڄڻيو	
چـُـري	VERB	چـُـر	
چـُـڀي	VERB	چـُـڀ	
چنبڙي	VERB	چنبڙ	
چوانس	VERB	چو	
چوسيندو	VERB	چوس	
چوندي	VERB	چو	
چوندين	VERB	چو	
چي	VERB	چي	
چيائينس	VERB	چيو	
چين	VERB	چيو	
چڙهندو	VERB	چڙه	
چڙهڻ	VERB	چڙه	
چکايانس	VERB	چکا	
ڇــڏيـائـيــن	VERB	ڇــڏ	
ڇنڊي	VERB	ڇنڊ	
ڇڏ	VERB	ڇڏ	
ڇڏاءِ	VERB	ڇڏا	
ڇڏائينم	VERB	ڇڏا	
ڇڏيائونس	VERB	ڇڏيو	
ڇڏيس	VERB	ڇڏي	
ڇڏيندو	VERB	ڇڏ	
ڊنل	VERB	ڊنو	
ڊڄندي	VERB	ڊڄ	
ڊڄي	VERB	ڊڄ	
ڌڻ	VERB	ڌڻ	May be a noun
ڏجئين	VERB	ڏج	
ڏسجن	VERB	ڏس	
ڏسون	VERB	ڏس	
ڏنائين	VERB	ڏنو	
ڏنس	VERB	ڏنو	
ڏنيس	VERB	ڏنو	
ڏياري	VERB	ڏيار	
ڏياريو	VERB	ڏيار	
ڏينداسين	VERB	ڏي	
ڏيندوسانءِ	VERB	ڏي	
ڏينس	VERB	ڏي	
ڏينم	VERB	ڏي	
ڏيکاريو	VERB	ڏي	
ڏيڻو	VERB	ڏي	
ڏٺائون	VERB	ڏٺو	
ڏٺي	VERB	ڏٺو	
ڏڪي	VERB	ڏڪ	
ڏڪين	VERB	ڏڪ	
ڏڪڻ	VERB	ڏڪڻ	
ڦرندو	VERB	ڦر	
ڦري	VERB	ڦر	
ڦيرو	VERB	ڦيرو	may be a noun
ڦڙڪائڻ	VERB	ڦڙڪ	
کايو	VERB	کاءِ	
کنيا	VERB	کڻ	
کنيائين	VERB	کنيو	
کوليا	VERB	کوليو	
کپيم	VERB	کپي	
کپيو	VERB	کپي	
کڄندو	VERB	کڄي	
کڙا	VERB	کڙو	
کڻن	VERB	کڻ	
ڪانڊاري	VERB	ڪانڊار	
ڪانڊرجي	VERB	ڪانڊر	
ڪاهي	VERB	ڪاه	
ڪاوڙجي	VERB	ڪاوڙج	
ڪاوڙيو	VERB	ڪاوڙ	
ڪرائين	VERB	ڪراءِ	
ڪرائيندا	VERB	ڪراءِ	
ڪراس	VERB	ڪراس	
ڪرايائينس	VERB	ڪرائي	
ڪريانس	VERB	ڪري	
ڪريونس	VERB	ڪر	
ڪـري	VERB	ڪـري	
ڪـِرڻ	VERB	ڪـِر	
ڪندءِ	VERB	ڪندو	
ڪنديس	VERB	ڪندو	
ڪٽڻ	VERB	ڪٽڻ	
ڪڍائي	VERB	ڪڍ	
ڪڍيائون	VERB	ڪڍ	
ڪڙڪيو	VERB	ڪڙڪيو	
گذريو	VERB	گذر	
گهرين	VERB	گهر	
گهلڻ	VERB	گهل	
گهمندي	VERB	گهُم	
گهٽائڻ	VERB	گهٽاءِ	
گهٽجڻ	VERB	گهٽ	
گڏ	VERB	گڏ	
گڏجي	VERB	گڏ	
گڏيل	VERB	گڏيل	
گڏيو	VERB	گڏ	
ڳائڻ	VERB	ڳاءِ	
ڳڻي	VERB	ڳڻ	
