Word	POS	Predicted Lemma	
محترم	PROPN	محترم	
مريدڪي	PROPN	مريدڪي	
ممبانگ	PROPN	ممبانگ	
ميانوالي	PROPN	ميانوالي	
مٺي	PROPN	مٺي	
ن-ع	PROPN	ن-ع	
نديم	PROPN	نديم	
نصرالله	PROPN	نصرالله	
نظامي	PROPN	نظامي	
نوبل	PROPN	نوبل	
نگار	PROPN	نگار	
نگر	PROPN	نگر	
هجري	PROPN	هجري	
هنگو	PROPN	هنگو	
هومر	PROPN	هومر	
واگرام	PROPN	واگرام	
ورجينيا	PROPN	ورجينيا	
وسڪي	PROPN	وسڪي	
وفا	PROPN	وفا	
ياسين	PROPN	ياسين	
ٽئگور	PROPN	ٽئگور	
پائونڊ	PROPN	پائونڊ	
پتري	PROPN	پتري	
پوانگ	PROPN	پوانگ	
پيسترنڪ	PROPN	پيسترنڪ	
چرچل	PROPN	چرچل	
ڊيره	PROPN	ڊيره	
ڪاليداس	PROPN	ڪاليداس	
ڪشمير	PROPN	ڪشمير	
ڪلنٽن	PROPN	ڪلنٽن	
ڪوٽڙي	PROPN	ڪوٽڙي	
گوئٽي	PROPN	گوئٽي	
گوانٽانامو	PROPN	گوانٽانامو	
تنهنڪري	SCONJ	تنهنڪري	
آئينءَ	VERB	آئينءَ	
آيس	VERB	آيو	
آڻيندڙ	VERB	آڻ	
اماڻيون	VERB	اماڻ	
اوڳاڇين	VERB	اوڳاڇ	
اينديس	VERB	ايندو	
اچين	VERB	اچ	
اڇلايو	VERB	اڇلاءِ	
اڏاڻو	VERB	اڏاڻو	
اڏڻ	VERB	اڏ	
بخش	VERB	بخش	
بخشيو	VERB	بخش	
بدلجي	VERB	بدلج	
بنايو	VERB	بناءِ	
بيهنديون	VERB	بيه	
بچيا	VERB	بچ	
بکايل	VERB	بکايل	
بکيو	VERB	بکيو	Should be ADJ
ترسي	VERB	ترس	
توري	VERB	تور	
تڪي	VERB	تڪي	
جهلجي	VERB	جهلج	
جڙندڙ	VERB	جڙ	
رسو	VERB	رس	
رسي	VERB	رس	
روئي	VERB	روءِ	
روڪيندا	VERB	روڪ	
روڪيونس	VERB	روڪ	
ريو	VERB	ريو	
رُلائيندي	VERB	رُلاءِ	
رکن	VERB	رک	
رکڻو	VERB	رک	
ساڙيندي	VERB	ساڙ	
سمجهيئي	VERB	سمجه	
سوچڻو	VERB	سوچ	
سيڙهي	VERB	سيڙه	
سَٽي	VERB	سَٽ	
سڃاتو	VERB	سڃاڻ	
سڏي	VERB	سڏ	
سڏيندا	VERB	سڏ	
سکي	VERB	سک	
سکڻ	VERB	سک	
لاٿي	VERB	لاھ	
لٽيندا	VERB	لٽ	
لٽڪايو	VERB	لٽڪاءِ	
لٿيون	VERB	لھ	
لڙڪيل	VERB	لڙڪ	
لکبو	VERB	لک	
لکيا	VERB	لک	
لکيون	VERB	لک	
لڪائڻ	VERB	لڪ	
لڪيل	VERB	لڪ	
لڳائيندا	VERB	لڳ	
لڳايون	VERB	لڳاءِ	
ماپيو	VERB	ماپ	
ملائي	VERB	ملاءِ	
ملهائي	VERB	ملهاءِ	
منجهائي	VERB	منجهاءِ	
موٽائي	VERB	موٽاءِ	
موڙڻ	VERB	موڙ	
موڪل	VERB	موڪل	
موڪلايو	VERB	موڪلاءِ	
موڪلي	VERB	موڪل	
موڪليل	VERB	موڪل	
ميسارجي	VERB	ميسارج	
مڃيائين	VERB	مڃ	
نڀايو	VERB	نڀاءِ	
نچندي	VERB	نچ	
نچنديس	VERB	نچ	
نچڻ	VERB	نچ	
نڪرندو	VERB	نڪر	
هائيجيڪ	VERB	هائيجيڪ	
هارائي	VERB	هاراءِ	
هـَـل	VERB	هـَـل	
هلايل	VERB	هل	
هلنديس	VERB	هل	
هلندين	VERB	هل	
هنيا	VERB	ھڻ	
واپري	VERB	واپرو	
واڻي	VERB	واڻ	
وينداسون	VERB	ويندو	
ويندين	VERB	ويندي	
ويهندي	VERB	ويهندو	
ويڙهي	VERB	ويڙهو	
وٺان	VERB	وٺ	
وٺنداسون	VERB	وٺ	
وٺنداسين	VERB	وٺ	
وٺندي	VERB	وٺ	
وٺون	VERB	وٺ	
وٺيو	VERB	وٺ	
وڃجانءِ	VERB	وڃ	
وڙهندو	VERB	وڙه	
وڻندڙ	VERB	وڻ	
وڻيو	VERB	وڻ	
ٻڌ	VERB	ٻڌ	
ٻڌا	VERB	ٻڌ	
ٻڌائيندي	VERB	ٻڌاءِ	
ٻڌائڻ	VERB	ٻڌاءِ	
ٻڌيون	VERB	ٻڌ	
ٽاري	VERB	ٽار	
ٽنگيو	VERB	ٽنگ	
ٽڪرائي	VERB	ٽڪراءِ	
پهچائڻو	VERB	پهچاءِ	
پهچندو	VERB	پهچ	
پويڪو	VERB	پويڪو	
پٽي	VERB	پٽي	
پڄي	VERB	پڄ	
پڙهان	VERB	پڙھ	
پڙهندڙن	VERB	پڙه	
پڙهيا	VERB	پڙه	
پڙهيو	VERB	پڙه	
ٿاڦي	VERB	ٿاڦ	
ٿيئي	VERB	آهي	
ٿينداسين	VERB	آهي	
ٿڪي	VERB	ٿڪ	
ڀائيندو	VERB	ڀاءِ	
ڀانئين	VERB	ڀاءِ	
ڀربو	VERB	ڀر	
ڀريل	VERB	ڀر	
ڀل	VERB	ڀل	
ڀوڳيو	VERB	ڀوڳ	
ڀڄون	VERB	ڀڄ	
ڀڳيون	VERB	ڀڳي	
ڄاڻايل	VERB	ڄاڻاءِ	
ڄاڻن	VERB	ڄاڻ	
ڄاڻي	VERB	ڄاڻ	
ڄاڻيندڙ	VERB	ڄاڻ	
چئو	VERB	چئو	
چاڙهه	VERB	چاڙهه	
چاڙهي	VERB	چاڙه	
چاڙهڻ	VERB	چاڙه	
چوان	VERB	چو	
چوسي	VERB	چوس	
چونڊيون	VERB	چونڊ	
چيائيس	VERB	چئو	
چڪايو	VERB	چڪاءِ	
ڇا	VERB	ڇا	
ڇو	VERB	ڇو	
ڇپجن	VERB	ڇپج	
ڇڄي	VERB	ڇڄ	
ڇڏائي	VERB	ڇڏ	
ڇڏجي	VERB	ڇڏج	
ڇڏيندس	VERB	ڇڏ	
ڊوڙندو	VERB	ڊوڙ	
ڊڄ	VERB	ڊڄ	
ڌاري	VERB	ڌار	
ڏجانءِ	VERB	ڏج	
ڏجو	VERB	ڏج	
ڏسجين	VERB	ڏسج	
ڏسن	VERB	ڏس	
ڏيندوء	VERB	ڏيندوء	
ڏيون	VERB	ڏي	
ڏيکاريون	VERB	ڏي	
ڦاسندو	VERB	ڦاس	
ڦاٽندڙ	VERB	ڦاٽ	
ڦريو	VERB	ڦر	
ڦيرائيندي	VERB	ڦيراءِ	
کائيندس	VERB	کاءِ	
کاڌو	VERB	کاڌو	
کسيندي	VERB	کسي	
کوليندو	VERB	کول	
کٽي	VERB	کٽ	
کڻ	VERB	کڻ	
ڪترائي	VERB	ڪترائي	
ڪجانءِ	VERB	ڪجانءِ	
ڪرائيندڙ	VERB	ڪراءِ	
ڪرندڙ	VERB	ڪر	
ڪرٽي	VERB	ڪرٽي	
ڪمائڻ	VERB	ڪماءِ	
ڪُن	VERB	ڪُن	
ڪڍيائين	VERB	ڪڍ	
ڪڙمي	VERB	ڪڙمي	Should be a Noun
گمهي	VERB	گمه	
گهرو	VERB	گهر	
گهرڻ	VERB	گهر	
گهلي	VERB	گهل	
گهمندو	VERB	گهم	
گهمي	VERB	گهم	
ڳالهائبو	VERB	ڳالهاءِ	
ڳالهايو	VERB	ڳالهاءِ	
ڳهي	VERB	ڳه	
ڳڻجن	VERB	ڳڻج	
۾کڻي	VERB	۾کڻي	Tokenization problem should be two tokens ۾ کڻي
