Raw Form	UPOS	proposed lemma	Remarks
آندو	VERB	آندو	
آهيو	VERB	آهي	
آيا	VERB	آيو	
آيل	VERB	آيو	
آڻڻ	VERB	آڻ	
ادا	VERB	ادا	
ايندي	VERB	ايندو	
ايندڙ	VERB	ايندو	
اٿي	VERB	اٿ	
اچ	VERB	اچ	
اچن	VERB	اچ	
اچو	VERB	اچ	
اچڻ	VERB	اچ	
بيهي	VERB	بيه	
بيٺا	VERB	بيٺو	
بيٺل	VERB	بيٺو	
بيٺو	VERB	بيٺو	
بيٺي	VERB	بيٺو	
بچائي	VERB	بچاءَ	
بچائڻ	VERB	بچاءَ	
بچايو	VERB	بچاءَ	
بڻجي	VERB	بڻج	
جاري	VERB	جاري	
جهلي	VERB	جهل	
جوڙي	VERB	جوڙ	
جوڙڻ	VERB	جوڙ	
داخل	VERB	داخل	
رهندي	VERB	رهندي	
روانو	VERB	روانو	
روڪڻ	VERB	روڪ	
رکندي	VERB	رک	
رکڻ	VERB	رکڻ	
سمجهيو	VERB	سمجهيو	
سوچيو	VERB	سوچيو	
سڙي	VERB	سڙي	
سگهجي	VERB	سگهجي	
سگهن	VERB	سگهي	
سگهي	VERB	سگهي	
سگهيو	VERB	سگهي	
فوت	VERB	فوت	
لهي	VERB	له	
لڪائي	VERB	لڪ	
لڪي	VERB	لڪ	
لڳل	VERB	لڳ	
لڳو	VERB	لڳ	
لڳڻ	VERB	لڳ	
مارجي	VERB	مار	
مري	VERB	مر	
ملهايو	VERB	ملهاءِ	
مليا	VERB	مل	
مليل	VERB	مليو	
ملڻ	VERB	مل	
موڪليو	VERB	موڪل	
هجن	VERB	هجي	
هجي	VERB	هجي	
هجڻ	VERB	هجي	
هل	VERB	هل	
هلندي	VERB	ھل	
هلندڙ	VERB	ھلندو	
هلي	VERB	هل	
هليا	VERB	ھل	
هلڻ	VERB	ھل	
هنيو	VERB	ھڻ	
هڻي	VERB	ھڻ	
واپس	VERB	واپس	
وجهي	VERB	وجھ	
وراڻيو	VERB	وراڻ	
وسري	VERB	وسر	
ويئي	VERB	وڃ	
ويندي	VERB	وڃ	
ويهي	VERB	ويھ	
ويون	VERB	ويون	
ويٺل	VERB	ويٺو	
ويٺو	VERB	ويٺو	
وٺڻ	VERB	وٺ	
وڃان	VERB	وڃ	
وڌي	VERB	وڌ	
وڻ	VERB	وڻ	
ٺاهڻ	VERB	ٺاھ	
ٺهي	VERB	ٺھ	
ٻاهر	VERB	ٻاهر	Must be a NOUN
ٻڌائي	VERB	ٻڌاءِ	
ٻڌو	VERB	ٻڌ	
ٻڌي	VERB	ٻڌ	
ٽپ	VERB	ٽپ	
پئجي	VERB	پئج	
پائي	VERB	پائي	
پهتا	VERB	پهتو	
پهتو	VERB	پهتو	
پهتي	VERB	پهتي	
پهچي	VERB	پهچ	
پهچڻ	VERB	پهچ	
پوندي	VERB	پوندي	
پوڻ	VERB	پوڻ	
پي	VERB	پي	
پيدا	VERB	پيدا	
پيش	VERB	پيش	
پيل	VERB	پيو	
پڇيو	VERB	پڇ	
ٿيل	VERB	ٿيو	
ٿيندڙ	VERB	ٿيندو	
ڀري	VERB	ڀر	
ڀريو	VERB	ڀر	
ڀڄي	VERB	ڀڄ	
ڀڳو	VERB	ڀڄ	
چئي	VERB	چئو	
چون	VERB	چئو	
چيائين	VERB	چئو	
چيس	VERB	چئو	
چڙهي	VERB	چڙھ	
چڪو	VERB	چڪو	
ڇڏيا	VERB	ڇڏيو	
ڏئي	VERB	ڏئي	
ڏس	VERB	ڏس	
ڏسو	VERB	ڏس	
ڏسڻ	VERB	ڏس	
ڏنا	VERB	ڏنو	
ڏنل	VERB	ڏنو	
ڏنو	VERB	ڏنو	
ڏنيون	VERB	ڏنيون	
ڏيندو	VERB	ڏيندو	
کلي	VERB	کلي	
کوليو	VERB	کول	
کپي	VERB	کپي	
کڻي	VERB	کڻي	
ڪرائي	VERB	ڪراءِ	
ڪريان	VERB	ڪر	
ڪرڻو	VERB	ڪر	
ڪرڻي	VERB	ڪرڻي	
ڪونهي	VERB	ڪونهي	
ڪيائين	VERB	ڪيو	
ڪيل	VERB	ڪيو	
ڪِري	VERB	ڪِري	
ڪڍي	VERB	ڪڍ	
ڪڍڻ	VERB	ڪڍ	
گذريل	VERB	گذريو	
گذرڻ	VERB	گذر	
گهرايو	VERB	گهراءِ	
گهرجن	VERB	گهرجي	
گهرجي	VERB	گهرجي	
گهري	VERB	گهر	
گهڙي	VERB	گهڙ	
گھرجي	VERB	گھرجي	
ڳالهائيندي	VERB	ڳالهاءِ	
ڳولي	VERB	ڳول	
