Text	UPOS	Predicted	Remarks	
عليه	PROPN	عليه		
فهميده	PROPN	فهميده		
فيبروري	PROPN	فيبروري		
فيض	PROPN	فيض		
قائد	PROPN	قائد		
قائم	PROPN	قائم		
قاضي	PROPN	قاضي		
قمر	PROPN	قمر		
لال	PROPN	لال		
لوگر	PROPN	لوگر		
مختيار	PROPN	مختيار		
مظھر	PROPN	مظھر		
ملتان	PROPN	ملتاو		
منڊو	PROPN	منڊو		
مٽياري	PROPN	مٽياري		
مڪين	PROPN	مڪين		
نند	PROPN	نند		
هاءِ	PROPN	هاءِ		
هالا	PROPN	هاللو		
هوٽل	PROPN	هوٽل		
ورلڊ	PROPN	ورلڊ		
يعقوب	PROPN	يعقوب		
پي	PROPN	پي		
پيارو	PROPN	پيارو		
پيرمظهرالحق	PROPN	پيرمظهرالحق		
ڀٽ	PROPN	ڀٽ		
ڇنڇر	PROPN	ڇنڇر		
ڊبليو	PROPN	ڊبليو		
ڌاٻيجي	PROPN	ڌاٻيجي		
کيبر	PROPN	کيبر		
ڪالاباغ	PROPN	ڪالاباغ		
ڪربلا	PROPN	ڪربلا		
ڪشمالا	PROPN	ڪشمالا		
ڪنڌڪوٽ	PROPN	ڪنڌڪوٽ		
ڪوئيٽا	PROPN	ڪوئيٽا		
گهرام	PROPN	گهرام		
(	PUNCT	(		
)	PUNCT	)		
-	PUNCT	-		
/	PUNCT	/		
:	PUNCT	:		
،	PUNCT	،		
؟	PUNCT	؟		
“	PUNCT	“		
”	PUNCT	”		
ايترا	SCONJ	ايترو	seems ADJ	
بلڪه	SCONJ	بلڪه		
جي	SCONJ	جي		
جيتوڻيڪ	SCONJ	جيتوڻيڪ		
ڇو	SCONJ	ڇو		
آڻيندي	VERB	آڻ		
اسمگل	VERB	اسمگل		
الپن	VERB	الپ		
اماڻي	VERB	اماڻ		
اماڻيندا	VERB	اماڻ		
اينداسين	VERB	ايندو		
ايندس	VERB	ايندو		
اُڪري	VERB	اُڪر		
اڀري	VERB	اڀر		
اچاري	VERB	اچار		
اچجانءِ	VERB	اچج		
اچيو	VERB	اچ		
اچڻو	VERB	اچ		
اڇلي	VERB	اڇل		
اڏائي	VERB	اڏاءِ		
اڏايو	VERB	اڏاءِ		
بنائڻ	VERB	بناءِ		
بنايون	VERB	بنائي		
بچڻ	VERB	بچ		
بڻائڻ	VERB	بڻاءِ		
بڻجن	VERB	بڻج		
بڻجيو	VERB	بڻج		
ترسڻ	VERB	تر		
ترڪي	VERB	ترڪي		
ته:	VERB	ته:	Tokenization error ته and ":" are separate ته is SCONJ 	fixed
جوڙيندي	VERB	جوڙ		
خمارجيو	VERB	خمارجيو		
رنگجي	VERB	رنگج		
رهـيـو	VERB	رهـ		
رهنديون	VERB	رهـ		
رهيون	VERB	رهـ		
روانا	VERB	روانو		
رواني	VERB	رواني		
روڪيو	VERB	روڪ		
رکيا	VERB	رک		
رکيل	VERB	رک		
رڪجندا	VERB	رڪج		
رھيا	VERB	رھ		
ساڙيا	VERB	ساڙ		
سمجهڻ	VERB	سمجھڻ		
سمجهڻو	VERB	سمجهڻ		
سيٽجي	VERB	سيٽج		
سڌرڻ	VERB	سڌر		
سڻائو	VERB	سڻاءِ		
شامل	VERB	شامل		
فراهم	VERB	فراهم		
لنگهيو	VERB	لنگه		
لنگهڻ	VERB	لنگھ		
لٽي	VERB	لٽ		
لکجڻ	VERB	لکج		
لڳائبا	VERB	لڳائبو		
مئا	VERB	مئو		
مارجڻ	VERB	مارجڻ		
ماريو	VERB	مار		
ماپڻ	VERB	ماپ		
ماڻڻ	VERB	ماڻ		
مـَـهٽي	VERB	مـَـهٽي		
مليون	VERB	مل		
موڪليون	VERB	موڪل		
مٽجي	VERB	مٽج		
مڃجي	VERB	مڃج		
مڃيو	VERB	مڃ		
مچائڻ	VERB	مچاءِ		
نچو	VERB	نچو		
نڪتل	VERB	نڪتل		
هراسجي	VERB	هراسجيو		
هلجي	VERB	هلج		
هلو	VERB	هل		
هلون	VERB	ھل		
وجهائيندا	VERB	وجهاءِ		
ورتس	VERB	ورتو		
ورتيون	VERB	ورتو		
ونڊائڻو	VERB	ونڊڻ		
وهڻ	VERB	وهڻ		
ويـهـي	VERB	ويـهـ		
ويندڙ	VERB	ويندو		
ويوجنهن	VERB	ويونهون	Tokenization error 	fixed
وٺرائيندڙ	VERB	وٺراءِ		
وٺڻو	VERB	وٺ		
وڃڻي	VERB	وڃ		
وڌندي	VERB	وڌ		
ٺاهيندڙ	VERB	ٺاه		
ٺاهيندڙن	VERB	ٺاه		
ٺهرايو	VERB	ٺهراءِ		
ٺهيل	VERB	ٺهيو		
ٻولي	VERB	ٻولي		
ٻيٺاهين	VERB	ٻيٺ		
ٻڌايا	VERB	ٻڌاءِ		
ٻڌل	VERB	ٻڌ		
ٻڏڻ	VERB	ٻڏ		
ٽاهي	VERB	ٽاه		
ٽپي	VERB	ٽپ		
پار	VERB	پار		
پرکي	VERB	پرک		
پون	VERB	پون		
پيئندا	VERB	پيءَ		
پيئڻ	VERB	پيءَ		
پچي	VERB	پچ		
پڇائيندا	VERB	پڇاءِ		
پڙهائبو	VERB	پڙهائبو		
پکڙجي	VERB	پکڙ		
پکڙيل	VERB	پکڙو		
پڪڙي	VERB	پڪڙ		
پھچايو	VERB	پھچاءِ		
ٿيس	VERB	ٿي		
ٿيم	VERB	ٿيو		
ٿيڻو	VERB	ٿي		
ڀڳي	VERB	ڀڳ		
ڄاڻجو	VERB	ڄاڻ		
ڄاڻڻ	VERB	ڄاڻ		
چئبو	VERB	چئبو		
چئجي	VERB	چئج		
چاهيان	VERB	چاه		
چاهيون	VERB	چاه		
چتائي	VERB	چتاءِ		
چميا	VERB	چم		
چوري	VERB	چوري		
چونڊيل	VERB	چونڊيل		
چڪا	VERB	چڪو		
چڪي	VERB	چڪو		
ڇڏائڻ	VERB	ڇڏ		
ڇڏيانءِ	VERB	ڇڏي		
ڇڏيندڙ	VERB	ڇڏ		
ڊاهي	VERB	ڊاه		
ڊاهڻ	VERB	ڊاه		
ڊهي	VERB	ڊه		
ڏسانس	VERB	ڏس		
ڏهڪايل	VERB	ڏهڪايو		
ڏيندڙ	VERB	ڏيندو		
ڏيکاريانوَ	VERB	ڏيکار		
ڏيکاريندڙ	VERB	ڏيکار		
ڏيکارڻ	VERB	ڏيکاءِ		
ڏيڻي	VERB	ڏيڻ		
ڏٺائين	VERB	ڏٺاءِ		
ڏٺيون	VERB	ڏٺو		
ڦاٽو	VERB	ڦاٽو		
ڦاٽي	VERB	ڦاٽ		
ڦاٿل	VERB	ڦاٿو		
ڦاڙي	VERB	ڦاڙ		
ڦاڙيو	VERB	ڦاڙ		
ڦرن	VERB	ڦر		
ڦهلائيندڙ	VERB	ڦهلاء		
ڦٿڪي	VERB	ڦٿڪ		
کانپو	VERB	کان	Seems ADP	xf
کاڌي	VERB	کاڌي		
کليل	VERB	کليو		
کنئي	VERB	کڻ		
کولرائڻ	VERB	کول		
کولڻ	VERB	کول		
ڪبيون	VERB	ڪبو		
ڪرڻا	VERB	ڪرڻو		
ڪونهن	VERB	ڪونهي		
ڪوٺايل	VERB	ڪوٺايل		
ڪيرائڻو	VERB	ڪيراءِ		
ڪٽي	VERB	ڪٽي		
ڪپي	VERB	ڪپي		
ڪڍيو	VERB	ڪڍ		
گذار	VERB	گذار		
گسائڻ	VERB	گساءِ		
گهرن	VERB	گهر		
ڳنڍيل	VERB	ڳنڍي		
ڳولهي	VERB	ڳوله		
۾	VERB	۾		
