Text	POS	Lemma	
پهري	VERB	پهري
پورو	VERB	پورو
پوندا	VERB	پو
پويس	VERB	پويس
پيان	VERB	پيان
پيس	VERB	پيس
پيڻ	VERB	پيڻ
پٽيائين	VERB	پٽيائين
پڄئي	VERB	پڄا
پڄڻ	VERB	پڄڻ
پڇ	VERB	پڇ
پڇي	VERB	پڇ
پڇيائينس	VERB	پڇ
پڇيس	VERB	پڇي
پکيڙي	VERB	پکيڙ
پکيڙيو	VERB	پکيڙ
ڀانئيندو	VERB	ڀان
ڀڃندو	VERB	ڀڃ
ڀڃي	VERB	ڀڃ
ڀڄ	VERB	ڀڄ
ڀڄائڻ	VERB	ڀڄاءِ
ڀڄندا	VERB	ڀڄ
ڀڄڻ	VERB	ڀڄ
ڀڄڻو	VERB	ڀڄ
ڀڳا	VERB	ڀڳو
ڄڻيا	VERB	ڄڻيو
چـُـري	VERB	چـُـر
چـُـڀي	VERB	چـُـڀو
چنبڙي	VERB	چنبڙ
چوانس	VERB	چوانس
چوسيندو	VERB	چوس
چوندي	VERB	چو
چوندين	VERB	چو
چي	VERB	چي
چيائينس	VERB	چيائينس
چين	VERB	چين
چڙهندو	VERB	چڙه
چڙهڻ	VERB	چڙه
چکايانس	VERB	چکاي
ڇــڏيـائـيــن	VERB	ڇــڏيءِ
ڇنڊي	VERB	ڇنڊ
ڇڏ	VERB	ڇڏ
ڇڏاءِ	VERB	ڇڏاءِ
ڇڏائينم	VERB	ڇڏاءِ
ڇڏيائونس	VERB	ڇڏيو
ڇڏيس	VERB	ڇڏي
ڇڏيندو	VERB	ڇڏ
ڊنل	VERB	ڊنل
ڊڄندي	VERB	ڊڄ
ڊڄي	VERB	ڊڄي
ڌڻ	VERB	ڌڻ
ڏجئين	VERB	ڏجءِن
ڏسجن	VERB	ڏسجو
ڏسون	VERB	ڏس
ڏنائين	VERB	ڏناءِ
ڏنس	VERB	ڏنس
ڏنيس	VERB	ڏنيس
ڏياري	VERB	ڏياري
ڏياريو	VERB	ڏياريو
ڏينداسين	VERB	ڏي
ڏيندوسانءِ	VERB	ڏيندوانءِ
ڏينس	VERB	ڏينس
ڏينم	VERB	ڏينم
ڏيکاريو	VERB	ڏيکار
ڏيڻو	VERB	ڏي
ڏٺائون	VERB	ڏٺاءِ
ڏٺي	VERB	ڏٺي
ڏڪي	VERB	ڏڪ
ڏڪين	VERB	ڏڪ
ڏڪڻ	VERB	ڏڪڻ
ڦرندو	VERB	ڦر
ڦري	VERB	ڦر
ڦيرو	VERB	ڦيرو
ڦڙڪائڻ	VERB	ڦڙڪ
کايو	VERB	کاءِ
کنيا	VERB	کڻ
کنيائين	VERB	کڻياءِ
کوليا	VERB	کوليو
کپيم	VERB	کپيم
کپيو	VERB	کپي
کڄندو	VERB	کڄ
کڙا	VERB	کڙو
کڻن	VERB	کڻ
ڪانڊاري	VERB	ڪانڊاري
ڪانڊرجي	VERB	ڪانڊرجي
ڪاهي	VERB	ڪاه
ڪاوڙجي	VERB	ڪاوڙج
ڪاوڙيو	VERB	ڪاوڙ
ڪرائين	VERB	ڪرار
ڪرائيندا	VERB	ڪرار
ڪراس	VERB	ڪراس
ڪرايائينس	VERB	ڪرايائينس
ڪريانس	VERB	ڪري
ڪريونس	VERB	ڪر
ڪـري	VERB	ڪـري
ڪـِرڻ	VERB	ڪـِر
ڪندءِ	VERB	ڪن
ڪنديس	VERB	ڪن
ڪٽڻ	VERB	ڪٽڻ
ڪڍائي	VERB	ڪڍ
ڪڍيائون	VERB	ڪڍ
ڪڙڪيو	VERB	ڪڙڪيو
گذريو	VERB	گذر
گهرين	VERB	گهر
گهلڻ	VERB	گهل
گهمندي	VERB	گهُندو
گهٽائڻ	VERB	گهٽاءِ
گهٽجڻ	VERB	گهٽجڻ
گڏ	VERB	گڏ
گڏجي	VERB	گڏ
گڏيل	VERB	گڏيل
گڏيو	VERB	گڏ
ڳائڻ	VERB	ڳاءِ
ڳڻي	VERB	ڳڻ
