Raw	POS	Lemma
هلندي	VERB	هلندي
هلندڙ	VERB	هلندڙ
هلي	VERB	هلي
هليا	VERB	هليا
هلڻ	VERB	هلڻ
هنيو	VERB	هنيو
هڻي	VERB	هڻي
واپس	VERB	واپس
وجهي	VERB	وجهي
وراڻيو	VERB	وراڻيو
وسري	VERB	وسري
ويئي	VERB	ويئي
ويندي	VERB	ويندي
ويهي	VERB	ويهي
ويون	VERB	ويون
ويٺل	VERB	ويٺل
ويٺو	VERB	ويٺو
وٺڻ	VERB	وٺڻ
وڃان	VERB	وڃان
وڌي	VERB	وڌي
وڻ	VERB	وڻ
ٺاهڻ	VERB	ٺاهڻ
ٺهي	VERB	ٺهي
ٻاهر	VERB	ٻاهر
ٻڌائي	VERB	ٻڌائي
ٻڌو	VERB	ٻڌو
ٻڌي	VERB	ٻڌي
ٽپ	VERB	ٽپ
پئجي	VERB	پئجي
پائي	VERB	پائي
پهتا	VERB	پهتا
پهتو	VERB	پهتو
پهتي	VERB	پهتي
پهچي	VERB	پهچي
پهچڻ	VERB	پهچڻ
پوندي	VERB	پوندي
پوڻ	VERB	پوڻ
پي	VERB	پي
پيدا	VERB	پيدا
پيش	VERB	پيش
پيل	VERB	پيل
پڇيو	VERB	پڇيو
ٿيل	VERB	ٿيل
ٿيندڙ	VERB	ٿيندڙ
ڀري	VERB	ڀري
ڀريو	VERB	ڀريو
ڀڄي	VERB	ڀڄي
ڀڳو	VERB	ڀڳو
چئي	VERB	چئي
چون	VERB	چون
چيائين	VERB	چيائين
چيس	VERB	چيس
چڙهي	VERB	چڙهي
چڪو	VERB	چڪو
ڇڏيا	VERB	ڇڏيا
ڏئي	VERB	ڏئي
ڏس	VERB	ڏس
ڏسو	VERB	ڏسو
ڏسڻ	VERB	ڏسڻ
ڏنا	VERB	ڏنا
ڏنل	VERB	ڏنل
ڏنو	VERB	ڏنو
ڏنيون	VERB	ڏنيون
ڏيندو	VERB	ڏيندو
کلي	VERB	کلي
کوليو	VERB	کوليو
کپي	VERB	کپي
کڻي	VERB	کڻي
ڪرائي	VERB	ڪرائي
ڪريان	VERB	ڪريان
ڪرڻو	VERB	ڪرڻو
ڪرڻي	VERB	ڪرڻي
ڪونهي	VERB	ڪونهي
ڪيائين	VERB	ڪيائين
ڪيل	VERB	ڪيل
ڪِري	VERB	ڪِري
ڪڍي	VERB	ڪڍي
ڪڍڻ	VERB	ڪڍڻ
گذريل	VERB	گذريل
گذرڻ	VERB	گذرڻ
گهرايو	VERB	گهرايو
گهرجن	VERB	گهرجن
گهرجي	VERB	گهرجي
گهري	VERB	گهري
گهڙي	VERB	گهڙي
گھرجي	VERB	گھرجي
ڳالهائيندي	VERB	ڳالهائيندي
ڳولي	VERB	ڳولي
